player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,A.J. Greer,FLA,L,L,78,17,15,32,14,113,,,,,,,,,,,,
,Aaron Ekblad,FLA,R,D,72,4,22,26,-5,55,,,,,,,,,,,,
,Aatu Räty,VAN,L,C,66,4,10,14,-4,22,,,,,,,,,,,,
,Abram Wiebe,CGY,L,D,4,0,0,0,0,2,,,,,,,,,,,,
,Adam Boqvist,NYI,R,D,28,0,4,4,-9,8,,,,,,,,,,,,
,Adam Edstrom,NYR,L,C,35,3,2,5,1,2,,,,,,,,,,,,
,Adam Engstrom,MTL,L,D,15,0,1,1,2,8,,,,,,,,,,,,
,Adam Erne,DAL,L,L,45,6,2,8,1,19,,,,,,,,,,,,
,Adam Fantilli,CBJ,L,C,82,24,35,59,-13,38,,,,,,,,,,,,
,Adam Fox,NYR,R,D,55,9,44,53,5,20,,,,,,,,,,,,
,Adam Gaudette,SJS,R,R,66,17,8,25,-9,20,,,,,,,,,,,,
,Adam Ginning,PHI,L,D,5,0,0,0,0,0,,,,,,,,,,,,
,Adam Henrique,EDM,L,C,65,3,12,15,-12,18,,,,,,,,,,,,
,Adam Klapka,CGY,R,R,79,6,12,18,-12,112,,,,,,,,,,,,
,Adam Larsson,SEA,R,D,82,7,18,25,0,42,,,,,,,,,,,,
,Adam Lowry,WPG,L,C,70,5,16,21,-6,32,,,,,,,,,,,,
,Adam Pelech,NYI,L,D,82,4,12,16,4,50,,,,,,,,,,,,
,Adam Sykora,NYR,L,L,11,3,1,4,0,5,,,,,,,,,,,,
,Adam Wilsby,NSH,L,D,58,1,15,16,2,29,,,,,,,,,,,,
,Adrian Kempe,LAK,L,R,81,36,37,73,14,58,,,,,,,,,,,,
,Albert Johansson,DET,L,D,82,3,8,11,-18,16,,,,,,,,,,,,
,Alec Regula,EDM,R,D,29,0,3,3,-16,35,,,,,,,,,,,,
,Aleksanteri Kaskimaki,STL,L,C,5,0,0,0,-6,0,,,,,,,,,,,,
,Alex Barré-Boulet,COL,L,C,2,0,1,1,0,0,,,,,,,,,,,,
,Alex Bump,PHI,L,L,17,5,4,9,3,2,,,,,,,,,,,,
,Alex DeBrincat,DET,R,R,82,41,44,85,8,19,,,,,,,,,,,,
,Alex Iafallo,WPG,L,L,79,13,16,29,3,14,,,,,,,,,,,,
,Alex Killorn,ANA,L,L,82,15,18,33,-2,40,,,,,,,,,,,,
,Alex Laferriere,LAK,R,R,82,21,23,44,3,18,,,,,,,,,,,,
,Alex Newhook,MTL,L,C,42,13,12,25,9,10,,,,,,,,,,,,
,Alex Ovechkin,WSH,R,L,82,32,32,64,-5,26,,,,,,,,,,,,
,Alex Steeves,BOS,L,C,43,9,7,16,6,34,,,,,,,,,,,,
,Alex Tuch,BUF,R,R,79,33,33,66,24,57,,,,,,,,,,,,
,Alex Turcotte,LAK,L,C,62,3,11,14,-8,21,,,,,,,,,,,,
